source,method,iters,selected_iteration,valid,num_flipped,num_intersections,min_signed_area,symmetric_dirichlet_mean,symmetric_dirichlet_max,angle_distortion_mean_deg,angle_distortion_max_deg,initial_symmetric_dirichlet_mean,initial_symmetric_dirichlet_max
data\output\Isis_nvp_1000\Isis_nvp.metrics.json,nvp,1000,800,True,0,0,0.00010090928117278963,8.45287799835205,205.10081481933594,22.928605238740786,116.19982607657403,16.01969337463379,1580.786376953125
data\output\Isis_direct_1000\Isis_direct.metrics.json,direct_uv,1000,1000,True,0,0,8.339092164533213e-05,4.8662614822387695,20.76751136779785,10.648738630184692,88.40990360421152,16.01969337463379,1580.786376953125
