dataset,seed,status,wall_elapsed_seconds,training_elapsed_seconds,source,method,iters,selected_iteration,valid,num_flipped,num_nonfinite,num_intersections,min_signed_area,symmetric_dirichlet_mean,symmetric_dirichlet_area_weighted_mean,symmetric_dirichlet_p95,symmetric_dirichlet_p99,symmetric_dirichlet_max,angle_distortion_mean_deg,angle_distortion_p95_deg,angle_distortion_max_deg,stretch_max_mean,stretch_max_area_weighted_mean,stretch_max_p95,stretch_max_max,condition_number_mean,condition_number_area_weighted_mean,condition_number_p95,normalized_uv_area_min,initial_symmetric_dirichlet_mean,initial_symmetric_dirichlet_max
Balls,0,complete,,,data\output\v2.2\affine\Balls\affine\Balls_affine.metrics.json,initial,0,0,True,0,0,0,0.006513184534496378,8.404830932617188,5.754598007471708,25.57837677001953,78.50255584716797,130.64695739746094,18.081265623478107,41.54420534329884,84.64061241804542,1.6383215188980103,1.3973345790805798,4.065340518951416,11.240262031555176,2.2320728302001953,1.7707241825681403,3.9110262393951416,0.014996005744395666,8.404830932617188,130.64695739746094
Balls,0,complete,35.048551200015936,22.026282899983926,data\output\v2.2\affine\Balls\affine\Balls_affine.metrics.json,affine,1000,1000,True,0,0,0,0.007309617940336466,6.956588268280029,5.201879027339048,12.97192096710205,51.22163009643555,116.91597747802734,16.17043611289493,41.35000064196188,106.33106108950186,1.4936516284942627,1.3060130469952806,2.8357088565826416,10.699613571166992,1.9894664287567139,1.669312352837758,3.554765224456787,0.018926220014691353,8.404830932617188,130.64695739746094
David328,0,complete,,,data\output\v2.2\affine\David328\affine\David328_affine.metrics.json,initial,0,0,True,0,0,0,0.0015429302974062818,34.694400787353516,28.409904139347297,145.427978515625,243.545654296875,698.5292358398438,20.997121710634236,53.75168057564068,111.67839684565686,2.988456964492798,2.7149550286769655,10.212942123413086,26.24643898010254,2.3353164196014404,2.2042114622799933,4.624103546142578,0.0007443642966928505,34.694400787353516,698.5292358398438
David328,0,complete,26.93862010000157,17.83148589998018,data\output\v2.2\affine\David328\affine\David328_affine.metrics.json,affine,1000,1000,True,0,0,0,0.004557520616799593,11.780516624450684,10.599241941373602,31.00643539428711,60.901771545410156,157.8162384033203,27.086260945014267,70.24787795195712,141.6122751831384,1.9414424896240234,1.836630647879735,4.440070629119873,10.350395202636719,3.316570281982422,3.2014173182279957,8.085643768310547,0.012668180279433727,34.694400787353516,698.5292358398438
NefertitiFace,0,complete,,,data\output\v2.2\affine\NefertitiFace\affine\NefertitiFace_affine.metrics.json,initial,0,0,True,0,0,0,0.0037910122498877492,5.224428653717041,5.30879698640285,7.70266580581665,10.701338768005371,14.317275047302246,13.441894780747404,34.00951904429498,59.39939984305042,1.347828984260559,1.405045866553785,2.263763904571533,3.47580623626709,1.6690396070480347,1.7015165805846808,2.699599027633667,0.0732501111561628,5.224428653717041,14.317275047302246
NefertitiFace,0,complete,25.68632959999377,16.741674999997485,data\output\v2.2\affine\NefertitiFace\affine\NefertitiFace_affine.metrics.json,affine,1000,1000,True,0,0,0,0.003579577896744013,4.564462661743164,4.432692175100579,5.659112930297852,6.646956920623779,8.2136812210083,9.980877588434506,25.869742431589884,61.50997572368931,1.2070796489715576,1.1809529309545543,1.6726487874984741,2.2960238456726074,1.4426193237304688,1.3815431495310901,2.0136609077453613,0.08099524676799774,5.224428653717041,14.317275047302246
Isis,0,complete,,,data\output\v2.2\affine\Isis\affine\Isis_affine.metrics.json,initial,0,0,True,0,0,0,4.1098180972201694e-05,15.866033554077148,13.462514078364729,33.37770080566406,72.97795104980469,1508.113037109375,25.555652405204135,59.845294137970974,103.07562448907093,2.098554849624634,1.9903427599104688,4.532660961151123,38.79947280883789,3.0302884578704834,2.951691591247877,5.950791358947754,0.012222577891136462,15.866033554077148,1508.113037109375
Isis,0,complete,30.187815800018143,19.520874199981336,data\output\v2.2\affine\Isis\affine\Isis_affine.metrics.json,affine,1000,1000,True,0,0,0,8.135452662827447e-05,8.66858959197998,7.635569315039586,18.12741470336914,31.395801544189453,387.13525390625,22.245078642740854,57.48920407342507,119.77034161614405,1.7907664775848389,1.631661116489126,3.6463372707366943,19.622060775756836,2.7283222675323486,2.6276480017074357,6.158690929412842,0.03673236444592476,15.866033554077148,1508.113037109375
Cow,0,complete,,,data\output\v2.2\affine\Cow\affine\Cow_affine.metrics.json,initial,0,0,True,0,0,0,5.932557181910131e-08,828.5261840820312,286.00127162250567,266.4740905761719,7306.1552734375,284752.6875,38.84791722284608,97.48163525593736,168.91894738056217,2.9136226177215576,2.6826268748032422,7.963070392608643,30.163965225219727,12.235595703125,6.979145584846725,31.92215347290039,4.3978844860979657e-05,828.5261840820312,284752.6875
Cow,0,complete,389.8294173000031,231.8581750000012,data\output\v2.2\affine\Cow\affine\Cow_affine.metrics.json,affine,1000,1000,True,0,0,0,1.8393075151834637e-07,142.50096130371094,67.757732097109,355.3005065917969,1738.1650390625,26863.09375,37.630381665250795,92.54785680401754,166.03397008310628,5.146402835845947,4.399138465509597,14.215537071228027,68.38367462158203,9.516085624694824,5.936763241829664,27.064346313476562,4.903501394437626e-05,828.5261840820312,284752.6875
