dataset,seed,status,wall_elapsed_seconds,training_elapsed_seconds,source,method,iters,selected_iteration,valid,num_flipped,num_nonfinite,num_intersections,min_signed_area,symmetric_dirichlet_mean,symmetric_dirichlet_area_weighted_mean,symmetric_dirichlet_p95,symmetric_dirichlet_p99,symmetric_dirichlet_max,angle_distortion_mean_deg,angle_distortion_p95_deg,angle_distortion_max_deg,normalized_uv_area_min,initial_symmetric_dirichlet_mean,initial_symmetric_dirichlet_max
Balls,0,complete,,,data\output\v2_1_balls\Balls\direct\Balls_direct.metrics.json,initial,0,0,True,0,0,0,0.006513184534496378,8.404830932617188,5.754598007471708,25.57837677001953,78.50255584716797,130.64695739746094,18.081265623478107,41.54420534329884,84.64061241804542,0.014996005744395666,8.404830932617188,130.64695739746094
Balls,0,complete,27.07769289999851,14.267820000000938,data\output\v2_1_balls\Balls\direct\Balls_direct.metrics.json,direct,1000,1000,True,0,0,0,0.021027788519859314,4.6782379150390625,4.41344007804979,6.846529006958008,13.48127269744873,20.994869232177734,6.550896850585846,20.208137037391893,73.38065349461613,0.051431238651275635,8.404830932617188,130.64695739746094
Balls,0,complete,34.9826819000009,22.271214500004135,data\output\v2_1_balls\Balls\affine\Balls_affine.metrics.json,affine,1000,1000,True,0,0,0,0.007309617940336466,6.956588268280029,5.201879027339048,12.97192096710205,51.22163009643555,116.91597747802734,16.17043611289493,41.35000064196188,106.33106108950186,0.018926220014691353,8.404830932617188,130.64695739746094
Balls,0,complete,106.39178559999709,93.60231819999899,data\output\v2_1_balls\Balls\spline\Balls_spline.metrics.json,spline,1000,1000,True,0,0,0,0.01913543976843357,5.0547990798950195,4.569631980931543,7.1966400146484375,18.552682876586914,29.246389389038086,12.457842542621734,36.30283208039869,81.66255736077468,0.05267338454723358,8.404830932617188,130.64695739746094
Balls,0,complete,9.560174300000654,0.11300520000077086,data\output\v2_1_balls\Balls\slim\Balls_slim.metrics.json,slim,20,20,True,0,0,0,0.019100169025532864,4.404581546783447,4.245895246724645,5.233798503875732,9.681313514709473,23.121070861816406,6.056992081939905,17.738485807768413,73.19117525086418,0.05336530676680001,8.404830932617188,130.64695739746094
