dataset,seed,status,wall_elapsed_seconds,training_elapsed_seconds,source,method,iters,selected_iteration,valid,num_flipped,num_nonfinite,num_intersections,min_signed_area,symmetric_dirichlet_mean,symmetric_dirichlet_area_weighted_mean,symmetric_dirichlet_p95,symmetric_dirichlet_p99,symmetric_dirichlet_max,angle_distortion_mean_deg,angle_distortion_p95_deg,angle_distortion_max_deg,normalized_uv_area_min,initial_symmetric_dirichlet_mean,initial_symmetric_dirichlet_max
Balls,,complete,,,data\output\v2_1_multiseed\Balls\seed_0\affine\Balls_affine_seed0.metrics.json,initial,0,0,True,0,0,0,0.006513184534496378,8.404830932617188,5.754598007471708,25.57837677001953,78.50255584716797,130.64695739746094,18.081265623478107,41.54420534329884,84.64061241804542,0.014996005744395666,8.404830932617188,130.64695739746094
Balls,0,complete,36.111547000007704,23.508812600004603,data\output\v2_1_multiseed\Balls\seed_0\affine\Balls_affine_seed0.metrics.json,affine,1000,1000,True,0,0,0,0.007309617940336466,6.956588268280029,5.201879027339048,12.97192096710205,51.22163009643555,116.91597747802734,16.17043611289493,41.35000064196188,106.33106108950186,0.018926220014691353,8.404830932617188,130.64695739746094
Balls,0,complete,104.80625819999841,91.91772729999502,data\output\v2_1_multiseed\Balls\seed_0\spline\Balls_spline_seed0.metrics.json,spline,1000,1000,True,0,0,0,0.01913543976843357,5.0547990798950195,4.569631980931543,7.1966400146484375,18.552682876586914,29.246389389038086,12.457842542621734,36.30283208039869,81.66255736077468,0.05267338454723358,8.404830932617188,130.64695739746094
Balls,1,complete,34.57705009999336,21.93153390000225,data\output\v2_1_multiseed\Balls\seed_1\affine\Balls_affine_seed1.metrics.json,affine,1000,1000,True,0,0,0,0.007725147530436516,6.612526893615723,5.098531889670712,11.785286903381348,43.68985366821289,88.93186950683594,15.856784667540053,41.08720611411059,80.04455384829035,0.02035152167081833,8.404830932617188,130.64695739746094
Balls,1,complete,104.70421389999683,91.87471880001249,data\output\v2_1_multiseed\Balls\seed_1\spline\Balls_spline_seed1.metrics.json,spline,1000,1000,True,0,0,0,0.019681066274642944,5.127020359039307,4.587112640564635,7.257472515106201,20.652568817138672,32.12486267089844,12.715810408016127,35.6053768902398,83.78166453190617,0.05422234535217285,8.404830932617188,130.64695739746094
Balls,2,complete,35.626559800002724,22.897477399994386,data\output\v2_1_multiseed\Balls\seed_2\affine\Balls_affine_seed2.metrics.json,affine,1000,950,True,0,0,0,0.007269600871950388,6.896896839141846,5.183882899055675,12.790843963623047,50.67900085449219,118.77328491210938,16.39586384343348,41.0893545610807,97.11407597440649,0.01887807808816433,8.404830932617188,130.64695739746094
Balls,2,complete,105.05328250001185,92.19739079999272,data\output\v2_1_multiseed\Balls\seed_2\spline\Balls_spline_seed2.metrics.json,spline,1000,1000,True,0,0,0,0.0175593513995409,5.0856451988220215,4.582019610217889,7.205504417419434,19.716808319091797,30.68984031677246,12.764751257150742,36.06206581809789,80.86484590723056,0.04844246432185173,8.404830932617188,130.64695739746094
Balls,3,complete,34.580026700001326,21.92112850000558,data\output\v2_1_multiseed\Balls\seed_3\affine\Balls_affine_seed3.metrics.json,affine,1000,800,True,0,0,0,0.006914770696312189,6.660758018493652,5.097531677115124,11.565449714660645,50.10359573364258,117.15007781982422,15.754735595556468,41.26043741733058,78.23830132224755,0.018112631514668465,8.404830932617188,130.64695739746094
Balls,3,complete,107.10816180000256,94.37222619999375,data\output\v2_1_multiseed\Balls\seed_3\spline\Balls_spline_seed3.metrics.json,spline,1000,975,True,0,0,0,0.020776472985744476,5.0634613037109375,4.568703579616139,7.009537696838379,18.9047908782959,25.543643951416016,12.704705980778332,36.367422109914536,86.99214134056268,0.05715203657746315,8.404830932617188,130.64695739746094
Balls,4,complete,35.76016059999529,22.94518579999567,data\output\v2_1_multiseed\Balls\seed_4\affine\Balls_affine_seed4.metrics.json,affine,1000,925,True,0,0,0,0.007325938902795315,6.7009687423706055,5.1164427675619715,12.090042114257812,46.700687408447266,113.00755310058594,16.014067439111543,40.674551954128795,81.44176932745228,0.019183004274964333,8.404830932617188,130.64695739746094
