dataset,baseline_method,candidate_method,pair_count,candidate_win_count,candidate_win_rate,area_weighted_sd_delta_mean,area_weighted_sd_delta_std,relative_improvement_mean,relative_improvement_std
Balls,affine,spline,5,5,1.0,-0.5585737491092893,0.05480672496940394,0.108607219871933,0.00960256307830309
Cow,affine,spline,5,5,1.0,-40.31584176772917,12.802978885741199,0.6936465827171777,0.08018132313874905
David328,affine,spline,5,5,1.0,-1.7633705393730867,0.09425729812763113,0.16462578414467668,0.006717967253541168
Isis,affine,spline,5,5,1.0,-2.0086941992798337,0.16702011190212024,0.266271152090258,0.019896124084919774
NefertitiFace,affine,spline,5,5,1.0,-0.3663286219852287,0.036068916260546986,0.08210309960469628,0.007455501616258318
