dataset,seed,status,wall_elapsed_seconds,training_elapsed_seconds,source,method,iters,selected_iteration,valid,num_flipped,num_nonfinite,num_intersections,min_signed_area,symmetric_dirichlet_mean,symmetric_dirichlet_area_weighted_mean,symmetric_dirichlet_p95,symmetric_dirichlet_p99,symmetric_dirichlet_max,angle_distortion_mean_deg,angle_distortion_p95_deg,angle_distortion_max_deg,stretch_max_mean,stretch_max_area_weighted_mean,stretch_max_p95,stretch_max_max,condition_number_mean,condition_number_area_weighted_mean,condition_number_p95,normalized_uv_area_min,initial_symmetric_dirichlet_mean,initial_symmetric_dirichlet_max
Balls,0,complete,,,data\output\v2.2\spline_bins4\Balls\spline\Balls_spline.metrics.json,initial,0,0,True,0,0,0,0.006513184534496378,8.404830932617188,5.754598007471708,25.57837677001953,78.50255584716797,130.64695739746094,18.081265623478107,41.54420534329884,84.64061241804542,1.6383215188980103,1.3973345790805798,4.065340518951416,11.240262031555176,2.2320728302001953,1.7707241825681403,3.9110262393951416,0.014996005744395666,8.404830932617188,130.64695739746094
Balls,0,complete,104.15928550000535,89.7863701999886,data\output\v2.2\spline_bins4\Balls\spline\Balls_spline.metrics.json,spline,1000,1000,True,0,0,0,0.009571275673806667,5.472640037536621,4.758696927364117,9.385744094848633,22.2464542388916,46.977378845214844,14.316343235696028,40.09320260848362,79.15984627528779,1.3569996356964111,1.2635680058225325,2.070768356323242,6.691554546356201,1.8205238580703735,1.586687242842651,3.2156505584716797,0.02600395306944847,8.404830932617188,130.64695739746094
David328,0,complete,,,data\output\v2.2\spline_bins4\David328\spline\David328_spline.metrics.json,initial,0,0,True,0,0,0,0.0015429302974062818,34.694400787353516,28.409904139347297,145.427978515625,243.545654296875,698.5292358398438,20.997121710634236,53.75168057564068,111.67839684565686,2.988456964492798,2.7149550286769655,10.212942123413086,26.24643898010254,2.3353164196014404,2.2042114622799933,4.624103546142578,0.0007443642966928505,34.694400787353516,698.5292358398438
David328,0,complete,91.74405149999075,82.4129535999964,data\output\v2.2\spline_bins4\David328\spline\David328_spline.metrics.json,spline,1000,1000,True,0,0,0,0.006492388900369406,10.757692337036133,9.764997242393097,27.92369270324707,40.059791564941406,95.04546356201172,27.367846012051277,70.40810214144449,119.32075796800038,1.9121389389038086,1.799207772012577,4.429128646850586,8.82690715789795,3.285886287689209,3.1086665061770793,6.999263763427734,0.018987879157066345,34.694400787353516,698.5292358398438
NefertitiFace,0,complete,,,data\output\v2.2\spline_bins4\NefertitiFace\spline\NefertitiFace_spline.metrics.json,initial,0,0,True,0,0,0,0.0037910122498877492,5.224428653717041,5.30879698640285,7.70266580581665,10.701338768005371,14.317275047302246,13.441894780747404,34.00951904429498,59.39939984305042,1.347828984260559,1.405045866553785,2.263763904571533,3.47580623626709,1.6690396070480347,1.7015165805846808,2.699599027633667,0.0732501111561628,5.224428653717041,14.317275047302246
NefertitiFace,0,complete,92.2749345000193,83.0718042999797,data\output\v2.2\spline_bins4\NefertitiFace\spline\NefertitiFace_spline.metrics.json,spline,1000,1000,True,0,0,0,0.003438861109316349,4.289896011352539,4.19213497288443,5.02326774597168,5.691766738891602,6.602210998535156,7.23203366277697,19.51289837162595,45.442610828679776,1.1348522901535034,1.117728078366936,1.4193356037139893,1.7200467586517334,1.3008192777633667,1.2467462641273714,1.749646544456482,0.07940050959587097,5.224428653717041,14.317275047302246
Isis,0,complete,,,data\output\v2.2\spline_bins4\Isis\spline\Isis_spline.metrics.json,initial,0,0,True,0,0,0,4.1098180972201694e-05,15.866033554077148,13.462514078364729,33.37770080566406,72.97795104980469,1508.113037109375,25.555652405204135,59.845294137970974,103.07562448907093,2.098554849624634,1.9903427599104688,4.532660961151123,38.79947280883789,3.0302884578704834,2.951691591247877,5.950791358947754,0.012222577891136462,15.866033554077148,1508.113037109375
Isis,0,complete,97.84048119999352,87.03186129999813,data\output\v2.2\spline_bins4\Isis\spline\Isis_spline.metrics.json,spline,1000,1000,True,0,0,0,8.363254892174155e-05,6.925708293914795,6.216614220654419,13.87968921661377,24.357072830200195,137.5958709716797,18.63754393296948,51.14044421159565,108.39424044831841,1.6064519882202148,1.4820657258925136,3.0574069023132324,11.596884727478027,2.3091447353363037,2.1389700977957156,4.768530368804932,0.03905313089489937,15.866033554077148,1508.113037109375
Cow,0,complete,,,data\output\v2.2\spline_bins4\Cow\spline\Cow_spline.metrics.json,initial,0,0,True,0,0,0,5.932557181910131e-08,828.5261840820312,286.00127162250567,266.4740905761719,7306.1552734375,284752.6875,38.84791722284608,97.48163525593736,168.91894738056217,2.9136226177215576,2.6826268748032422,7.963070392608643,30.163965225219727,12.235595703125,6.979145584846725,31.92215347290039,4.3978844860979657e-05,828.5261840820312,284752.6875
Cow,0,complete,458.36226040002657,298.3637138000049,data\output\v2.2\spline_bins4\Cow\spline\Cow_spline.metrics.json,spline,1000,1000,True,0,0,0,1.6599722130195005e-07,56.74137496948242,28.324104649549504,131.59629821777344,661.6312866210938,25314.484375,34.35265523111573,83.51065045504751,164.89616985040888,3.325820207595825,2.7776008358998343,9.432683944702148,55.17633056640625,5.915980815887451,4.7134325444698515,15.414105415344238,0.0001413061545463279,828.5261840820312,284752.6875
