source,method,iters,selected_iteration,valid,num_flipped,num_intersections,min_signed_area,symmetric_dirichlet_mean,symmetric_dirichlet_max,angle_distortion_mean_deg,angle_distortion_max_deg,initial_symmetric_dirichlet_mean,initial_symmetric_dirichlet_max
data\output\Cow_nvp_1000\Cow_nvp.metrics.json,nvp,1000,500,True,0,0,5.043766577728093e-07,124.2006607055664,23545.755859375,41.64135398086008,165.61817023224893,2172.27734375,794701.3125
data\output\Cow_direct_1000\Cow_direct.metrics.json,direct_uv,1000,1000,True,0,0,1.1056631876726897e-07,195.9500732421875,194977.5625,28.908439596663495,168.9180395259572,2172.27734375,794701.3125
