dataset,seed,status,wall_elapsed_seconds,training_elapsed_seconds,source,method,iters,selected_iteration,valid,num_flipped,num_nonfinite,num_intersections,min_signed_area,symmetric_dirichlet_mean,symmetric_dirichlet_area_weighted_mean,symmetric_dirichlet_p95,symmetric_dirichlet_p99,symmetric_dirichlet_max,angle_distortion_mean_deg,angle_distortion_p95_deg,angle_distortion_max_deg,stretch_max_mean,stretch_max_area_weighted_mean,stretch_max_p95,stretch_max_max,condition_number_mean,condition_number_area_weighted_mean,condition_number_p95,normalized_uv_area_min,initial_symmetric_dirichlet_mean,initial_symmetric_dirichlet_max
Cow,0,complete,,,data\output\v2.4\Cow\Cow\direct\Cow_direct.metrics.json,initial,0,0,True,0,0,0,5.932557181910131e-08,828.5261840820312,286.00127162250567,266.4740905761719,7306.1552734375,284752.6875,38.84791722284608,97.48163525593736,168.91894738056217,2.9136226177215576,2.6826268748032422,7.963070392608643,30.163965225219727,12.235595703125,6.979145584846725,31.92215347290039,4.3978844860979657e-05,828.5261840820312,284752.6875
Cow,0,complete,198.70452189999924,173.94764260000375,data\output\v2.4\Cow\Cow\direct\Cow_direct.metrics.json,direct,1000,0,True,0,0,0,5.983110895613208e-08,828.5261840820312,286.00127162250567,266.4740905761719,7306.1552734375,284752.6875,38.84791935008663,97.48170334582977,168.91971975249302,2.9136226177215576,2.6826268748032422,7.963070392608643,30.163965225219727,12.235595703125,6.979145584846725,31.92215347290039,4.435360460774973e-05,828.5261840820312,284752.6875
Cow,0,complete,214.38520649999555,191.70566430001054,data\output\v2.4\Cow\Cow\affine\Cow_affine.metrics.json,affine,1000,850,True,0,0,0,9.475843398831785e-08,106.44564056396484,50.704037268762114,280.0500183105469,1272.7269287109375,30382.146484375,34.91766930695861,85.53722409601673,165.97330434289825,4.447932720184326,3.747210620694909,13.165342330932617,72.63557434082031,7.725183963775635,5.068128294399519,19.13866424560547,3.3325908589176834e-05,828.5261840820312,284752.6875
Cow,0,complete,274.5933831000002,251.6456804000045,data\output\v2.4\Cow\Cow\spline\Cow_spline.metrics.json,spline,1000,1000,True,0,0,0,6.870823767712864e-07,20.963157653808594,12.807379667046362,61.1186408996582,187.78347778320312,1808.0755615234375,29.988062239270036,76.02973634441778,159.38519073744908,2.3475468158721924,1.9547555839333932,5.967684745788574,30.512537002563477,4.370648384094238,3.4097516523251663,12.513324737548828,0.0010112571762874722,828.5261840820312,284752.6875
Cow,0,failed,18.990507700000308,0.4465085999981966,data\output\v2.4\Cow\Cow\slim\Cow_slim.metrics.json,slim,20,20,False,0,0,1069,5.3818385435587415e-06,4.172693252563477,4.085299896831116,4.623630523681641,5.632485866546631,65.01605224609375,4.786536347022102,15.126723278052271,74.62467071108757,1.0904525518417358,1.0655236599124773,1.3214176893234253,2.662553548812866,1.2032846212387085,1.1349557974975408,1.5746574401855469,0.01148892018604069,828.5261840820312,284752.6875
